"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","correct_response","correct_response_key","css_classes","size_condition","choices","correct","slider_start"
"","","","","","html-keyboard-response","448","2.0.0","391580","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","449","2.0.0","392195","pukxay7l5kt","3332","613","stimuli/13-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","451","2.0.0","392898","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","452","2.0.0","393343","pukxay7l5kt","3332","444","stimuli/32-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","454","2.0.0","394047","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","455","2.0.0","394510","pukxay7l5kt","3332","461","stimuli/34-Congruent.jpg","z","left","z","cb","small","z","true",""
"","","","","","html-keyboard-response","457","2.0.0","395213","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","458","2.0.0","395773","pukxay7l5kt","3332","558","stimuli/21-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","460","2.0.0","396476","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","461","2.0.0","396952","pukxay7l5kt","3332","473","stimuli/29-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","463","2.0.0","397655","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","464","2.0.0","397949","pukxay7l5kt","3332","293","stimuli/7-Congruent.jpg","m","right","m","normal","small","m","true",""
"","","","","","html-keyboard-response","466","2.0.0","398652","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","467","2.0.0","398915","pukxay7l5kt","3332","263","stimuli/27-Incongruent.jpg","z","right","m","cb","small","z","false",""
"","","","","","html-keyboard-response","468","2.0.0","399918","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","469","2.0.0","400620","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","470","2.0.0","400895","pukxay7l5kt","3332","272","stimuli/35-Congruent.jpg","m","left","z","cb","small","m","false",""
"","","","","","html-keyboard-response","471","2.0.0","401898","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","472","2.0.0","402600","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","473","2.0.0","402992","pukxay7l5kt","3332","389","stimuli/23-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","475","2.0.0","403695","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","476","2.0.0","404214","pukxay7l5kt","3332","518","stimuli/29-Congruent.jpg","m","right","m","normal","small","m","true",""
